Country_Name,ISO3,GDP_USD,NDV_Base_USD,Base_Ratio_Pct,Mean_Ratio_Pct,CI_95_Lower,CI_95_Upper,Std_Dev
Maldives,MDV,6177123352.26,3515271636.43,0.57,61.58,43.44,79.97,9.29
Faroe Islands,FRO,3615241800.5,3152365569.09,0.87,91.8,75.44,107.88,8.37
Turkmenistan,TKM,37583913148.28,3139118279.8516417,0.08,7.96,-16.65,35.55,12.89
Seychelles,SYC,1999888599.25,2882320709.491642,1.44,73.55,56.54,91.16,9.09
Andorra,AND,3380612573.48,2701320254.59,0.8,84.32,66.93,101.95,8.68
Greenland,GRL,3152334771.78,2649047186.96,0.84,88.75,73.63,105.14,8.19
Aruba,ABW,3326671314.77,2642574564.9,0.79,84.26,67.92,101.27,8.61
Botswana,BWA,20321150599.15,2285459446.781642,0.11,8.22,-10.32,27.02,9.57
Northern Mariana Islands,MNP,1096000000.0,2244031449.611642,2.05,72.81,54.81,90.03,8.88
Curacao,CUW,3075180837.99,2200600933.93,0.72,75.56,58.18,91.79,8.95
American Samoa,ASM,871000000.0,2059769072.261642,2.37,68.96,51.22,86.67,9.0
St. Vincent and the Grenadines,VCT,989188888.89,2035494825.7316418,2.06,59.38,41.64,77.55,9.38
Malta,MLT,18938869147.08,2018574613.6,0.11,15.18,7.99,22.66,3.63
Fiji,FJI,4977861885.6,1848868478.9716418,0.37,11.41,-10.19,34.3,11.37
Belize,BLZ,2846604350.0,1813524170.071642,0.64,15.53,-3.94,36.51,9.98
Dominica,DMA,623062962.96,1776878953.2016418,2.85,49.13,30.19,69.14,9.61
Eswatini,SWZ,4746660273.51,1736574125.341642,0.37,9.54,-14.24,32.87,12.07
Moldova,MDA,14525337523.73,1607276737.56,0.11,15.65,-5.17,37.83,10.82
St. Lucia,LCA,2319888888.89,1592692457.6,0.69,73.45,56.42,91.43,9.04
Palau,PLW,247470812.5,1584302411.071642,6.4,38.43,19.91,55.29,9.17
San Marino,SMR,1831701022.87,1540761602.17,0.84,90.09,72.94,106.9,8.81
"Micronesia, Fed. Sts.",FSM,415232900.0,1525016483.5116417,3.67,10.53,-9.85,31.95,10.74
Antigua and Barbuda,ATG,1857114814.81,1437988129.43,0.77,82.37,65.28,98.56,8.58
Sint Maarten (Dutch part),SXM,1592564636.87,1306292712.46,0.82,86.83,70.5,103.45,8.43
Samoa,WSM,889554711.84,1233230059.821642,1.39,-26.17,-54.02,0.13,13.68
