Country_Name,ISO3,Population,Gini,gross_domestic_product_usd,thermodynamic_gdp_usd,physical_depreciation_usd,natural_depletion_usd,cognitive_depletion_usd,metabolic_depreciation_usd,epistemic_decay_usd,care_economy_dividend_usd,smog_friction_penalty_usd,gini_friction_penalty_usd,financialization_friction_usd,offshored_entropy_debt_usd,net_domestic_value_usd,cohesion_archetype,equilibrium_transfer_usd,ndv_to_gdp_ratio
Malta,MLT,531113.0,0.346,18938869147.08,15151095317.67,757554765.88,345000.0,2129486551.6,2641978024.54,729335850.85,2913672176.47,2795052.94,0,1041637803.09,0.0,10761599945.23,Industrial,-34500.0,0.568
Channel Islands,CHI,167215.0,0.38,11308272505.18,10460152067.29,452330900.21,75000000.0,622541445.0,1317020465.23,226165450.1,1739734231.57,1337720.0,84812043.79,621954987.79,0.0,10297562988.661642,Natural,1498839701.9216418,0.911
Monaco,MCO,38931.0,0.38,8800432773.74,8140400315.71,352017310.95,0.0,168389547.11,470219296.46,176008655.47,1353912734.42,244232.96,66003245.8,484023802.56,0.0,7777406958.82,Industrial,-0.0,0.884
New Caledonia,NCL,287123.0,0.38,9623318718.31,8901569814.44,384932748.73,628365000.0,1068958929.0,1229399459.94,192466374.37,1480510572.05,2296984.0,72174890.39,529282529.51,151731210.34,7621311962.131641,Natural,1498839701.9216418,0.792
Equatorial Guinea,GNQ,1803545.0,0.385,13687643435.62,14098272738.69,547505737.42,1823775000.0,5028799463.7,1947005833.8,273752868.71,2105791297.79,55730736.4,119766880.06,752820388.96,0.0,7153746829.341642,Natural,1498839701.9216418,0.523
Bosnia and Herzegovina,BIH,3204802.0,0.38,24534663636.18,23564266366.62,981386545.45,1640932500.0,11067573872.52,5199875358.93,1134762541.7,3774563636.34,56685157.8,184009977.27,1349406499.99,266761095.15,6956276156.061642,Natural,1498839701.9216418,0.284
Liechtenstein,LIE,39493.0,0.38,7426856242.77,6869842024.57,297074249.71,5025000.0,169313387.39,602260768.6,148537124.86,1142593268.12,315944.0,55701421.82,408477093.35,0.0,6325227802.95,Industrial,-502500.0,0.852
Bermuda,BMU,64749.0,0.38,7767884000.0,7185292700.0,310715360.0,750000.0,241060527.0,867102526.5,155357680.0,1195059076.92,0,58259130.0,427233620.0,0.0,6319797933.42,Industrial,-75000.0,0.814
Albania,ALB,2451636.0,0.38,19017247013.88,18096534697.97,760689880.56,591675000.0,8871193343.08,3736886875.08,874804772.99,2925730309.83,22464484.57,142629352.6,1045948585.76,156761334.67,6318051080.401642,Natural,1498839701.9216418,0.332
Isle of Man,IMN,84132.0,0.38,7431257410.93,6873913105.11,297250296.44,2595000.0,313223436.0,846167749.68,148625148.22,1143270370.91,673056.0,55734430.58,408719157.6,0.0,5943935701.5,Industrial,-259500.0,0.8
Mauritius,MUS,1262523.0,0.38,12936444123.3,11966210814.06,517457764.93,29137500.0,4175037308.7,1975082993.96,566929314.55,1990222172.82,10155539.32,97023330.92,711504426.78,140802382.83,5730388674.88,Industrial,-2913750.0,0.443
Cayman Islands,CYM,71591.0,0.38,6653516041.44,6154502338.33,266140641.66,9480000.0,266533293.0,754807502.87,133070320.83,1023617852.53,572728.0,49901370.31,365943382.28,0.0,5330722951.92,Industrial,-948000.0,0.801
Barbados,BRB,282318.0,0.38,6886644900.0,6370146532.5,275465796.0,4725000.0,854007890.27,761765206.14,137732898.0,1059483830.77,1309595.37,51649836.75,378765469.5,0.0,4963736171.24,Industrial,-472500.0,0.721
Guam,GUM,165180.0,0.38,6910000000.0,6391750000.0,276400000.0,21000000.0,614965140.0,852026250.0,138200000.0,1063076923.08,0,51825000.0,380050000.0,310080000.0,4808180533.08,Industrial,-2100000.0,0.696
French Polynesia,PYF,280378.0,0.38,5622688338.06,5200986712.71,224907533.52,112095000.0,1043847294.0,802774283.62,112453766.76,865028975.09,2243024.0,42170162.54,309247858.59,116466831.67,4798649635.011642,Natural,1498839701.9216418,0.853
North Macedonia,MKD,1831712.0,0.38,13932436550.09,12597437015.02,557297462.0,751117500.0,6727224804.09,2745220195.71,592485223.75,2143451776.94,25646399.26,104493274.13,766284010.25,229345274.3,3740614350.381642,Natural,1498839701.9216418,0.268
Virgin Islands (U.S.),VIR,105413.0,0.38,4672000000.0,4321600000.0,186880000.0,15157500.0,392452599.0,571371750.0,93440000.0,718769230.77,60156.22,35040000.0,256960000.0,40720000.0,3446771475.55,Industrial,-1515750.0,0.738
Montenegro,MNE,623591.0,0.38,6259721790.07,5981572400.68,250388871.6,620250000.0,2409630521.89,1291878354.93,125194435.8,963034121.55,6825681.48,46947913.43,344284698.45,114007333.58,3234038412.991642,Natural,1498839701.9216418,0.517
Georgia,GEO,3712502.0,0.335,24984568959.6,22002003302.91,999382758.38,2116800000.0,12799050603.21,5505973434.58,1131950881.28,3843779839.94,42624171.1,0,1374151292.78,194633374.94,3180056328.5016418,Natural,1498839701.9216418,0.127
Maldives,MDV,524106.0,0.38,6177123352.26,5713839100.84,247084934.09,615000.0,1926268168.29,1006909006.68,123542467.05,950326669.58,2270239.27,46328425.14,339741784.37,0.0,2971344245.54,Industrial,-61500.0,0.481
Faroe Islands,FRO,53903.0,0.38,3615241800.5,3344098665.46,144609672.02,60000.0,200680869.0,421383354.73,72304836.01,556191046.23,431224.0,27114313.5,198838299.03,331253.49,2834529889.91,Industrial,-6000.0,0.784
Seychelles,SYC,119878.0,0.38,1999888599.25,1849896954.31,79995543.97,25275000.0,445433141.57,214229902.15,39997771.99,307675169.12,446882.04,14999164.49,109993872.96,15474467.61,2710566078.5616417,Natural,1498839701.9216418,1.355
El Salvador,SLV,6280319.0,0.388,31870110000.0,29025442394.93,1274804400.0,431160000.0,16520109914.66,8764734135.15,1502146642.67,4903093846.15,124570563.55,302766045.0,1752856050.0,607677600.0,2604594890.06,Industrial,-43116000.0,0.082
Armenia,ARM,2969200.0,0.279,19513506553.13,17263439959.56,780540262.13,246037500.0,10017523034.8,4742588078.16,893894221.69,3002077931.25,57871735.38,0,1073242860.42,11501861.5,2417714586.72,Industrial,-24603750.0,0.124
Andorra,AND,79705.0,0.38,3380612573.48,3127066630.47,135224502.94,12000000.0,328341903.54,396593562.38,158335722.74,520094242.07,412408.22,25354594.3,185933691.54,0.0,2403764486.89,Industrial,-1200000.0,0.711
Greenland,GRL,56661.0,0.38,3152334771.78,2915909663.9,126093390.87,165000.0,210948903.0,374673026.58,63046695.44,484974580.27,0,23642510.79,173378412.45,29720107.76,2399199697.29,Industrial,-16500.0,0.761
Aruba,ABW,107310.0,0.38,3326671314.77,3077170966.17,133066852.59,315000.0,399515130.0,431030489.79,66533426.3,511795586.89,858480.0,24950034.86,182966922.31,0.0,2349698717.2,Industrial,-31500.0,0.706
Northern Mariana Islands,MNP,46078.0,0.38,1096000000.0,1013800000.0,43840000.0,18270000.0,171548394.0,150049500.0,21920000.0,168615384.62,0,8220000.0,60280000.0,42640000.0,2164487192.5416417,Natural,1498839701.9216418,1.975
Turkmenistan,TKM,7230193.0,0.38,37583913148.28,38711430542.73,1503356525.93,3095250000.0,26918008539.0,8197369209.74,1773960700.6,5782140484.35,164052762.84,281879348.61,2067115223.16,0.0,1991418419.1216419,Natural,1498839701.9216418,0.053
American Samoa,ASM,48342.0,0.38,871000000.0,805675000.0,34840000.0,12802500.0,179977266.0,128038125.0,17420000.0,134000000.0,0,6532500.0,47905000.0,21440000.0,1989559310.9216418,Natural,1498839701.9216418,2.284
St. Vincent and the Grenadines,VCT,102046.0,0.38,989188888.89,914999722.22,39567555.56,21405000.0,334125155.49,140476299.3,19783777.78,152182905.98,463568.17,7418916.67,54405388.89,0.0,1948376668.281642,Natural,1498839701.9216418,1.97
Curacao,CUW,153321.0,0.38,3075180837.99,2844542275.14,123007233.52,52500.0,570814083.0,439037930.8,61503616.76,473104744.31,1226568.0,23063856.28,169134946.09,0.0,1929801034.99,Industrial,-5250.0,0.628
Dominica,DMA,66826.0,0.38,623062962.96,576333240.74,24922518.52,35902500.0,235855376.46,100616535.12,12461259.26,95855840.46,329113.07,4672972.22,34268462.96,0.0,1722000045.5016418,Natural,1498839701.9216418,2.764
Palau,PLW,17759.0,0.38,247470812.5,228910501.56,9898832.5,31177500.0,64224648.84,59822987.57,4949416.25,38072432.69,3702.03,1856031.09,13610894.69,14407961.43,1565870661.7816417,Natural,1498839701.9216418,6.327
Belize,BLZ,402733.0,0.38,2846604350.0,2633109023.75,113864174.0,941047500.0,1234484781.87,472766768.03,56932087.0,437939130.77,3562220.12,21349532.63,156563239.25,6109212.0,1563208341.551642,Natural,1498839701.9216418,0.549
"Micronesia, Fed. Sts.",FSM,112114.0,0.38,415232900.0,384090432.5,16609316.0,48360000.0,191650143.79,150897003.31,8304658.0,63881984.62,0,3114246.75,22837809.5,15600000.0,1489438941.6816418,Natural,1498839701.9216418,3.587
Fiji,FJI,919422.0,0.38,4977861885.6,4604522244.18,199114475.42,865035000.0,2922262224.33,976218438.25,99557237.71,765824905.48,1737739.12,37333964.14,273782403.71,76670965.43,1417474403.4716418,Natural,1498839701.9216418,0.285
Eswatini,SWZ,1218917.0,0.38,4746660273.51,4600323425.02,189866410.94,374985000.0,3061497853.74,1371357384.43,94933205.47,730255426.69,13085375.62,35599952.05,261066315.04,13597471.7,1413429584.6416419,Natural,1498839701.9216418,0.298
San Marino,SMR,33755.0,0.38,1831701022.87,1694323446.16,73268040.91,750000.0,143896288.53,201260942.08,36634020.46,281800157.36,315842.96,13737757.67,100743556.26,0.0,1405442154.65,Industrial,-75000.0,0.767
St. Lucia,LCA,178781.0,0.38,2319888888.89,2145897222.22,92795555.56,15577500.0,524271714.29,287998949.26,46397777.78,356905982.91,786667.42,17399166.67,127593888.89,0.0,1388424235.27,Industrial,-1557750.0,0.598
Antigua and Barbuda,ATG,92840.0,0.38,1857114814.81,1717831203.7,74284592.59,5993325.0,292468338.65,185797390.1,37142296.3,285709971.51,218556.81,13928361.11,102141314.81,12328296.3,1278639371.05,Industrial,-599332.5,0.689
Sint Maarten (Dutch part),SXM,42139.0,0.38,1592564636.87,1473122289.11,63702585.47,277500.0,156883497.0,199420748.61,31851292.74,245009944.13,337112.0,11944234.78,87591055.03,0.0,1166096457.61,Industrial,-27750.0,0.732
Samoa,WSM,215261.0,0.38,889554711.84,822838108.45,35582188.47,120532500.0,801416703.0,243804712.42,17791094.24,136854571.05,56383.24,6671660.34,48925509.15,26954383.45,1156797247.1216419,Natural,1498839701.9216418,1.3
Turks and Caicos Islands,TCA,45847.0,0.38,1434119000.0,1326560075.0,57364760.0,7890000.0,170688381.0,185505539.62,28682380.0,220633692.31,366776.0,10755892.5,78876545.0,0.0,1006274493.18,Industrial,-789000.0,0.702
Botswana,BWA,2439892.0,0.38,20321150599.15,19599289119.19,812846023.97,11263575000.0,6187614909.84,3419299075.82,406423011.98,3126330861.41,16387363.64,152408629.49,1117663282.95,0.0,848242384.8216418,Natural,1498839701.9216418,0.042
Vanuatu,VUT,313046.0,0.38,1151863789.77,1065474005.53,46074551.59,331725000.0,1165470258.0,301687552.22,23037275.8,177209813.81,572469.23,8638978.42,63352508.44,36642708.89,764322218.6716418,Natural,1498839701.9216418,0.664
Jamaica,JAM,2839144.0,0.38,18813516805.21,15636610196.27,752540672.21,453495825.0,10675001251.76,4259342436.81,376270336.1,2894387200.8,35883548.04,141101376.04,1034743424.29,0.0,757268944.33,Industrial,-45349582.5,0.04
St. Kitts and Nevis,KNA,46709.0,0.38,981429629.63,907822407.41,39257185.19,8250000.0,154998616.75,109317252.41,19628592.59,150989173.79,122029.84,7360722.22,53978629.63,0.0,665073552.56,Industrial,-825000.0,0.678
Grenada,GRD,116913.0,0.38,1224007407.41,1132206851.85,48960296.3,13275000.0,350365964.09,172556384.99,24480148.15,188308831.91,560066.19,9180055.56,67320407.41,0.0,632489861.08,Industrial,-1327500.0,0.517
Moldova,MDA,2528654.0,0.259,14525337523.73,12639287823.5,581013500.95,289875000.0,8297657089.57,3246702668.91,659569431.34,2234667311.34,19323615.29,0,798893563.8,344712436.08,607220328.9,Industrial,-28987500.0,0.042
Angola,AGO,35635029.0,0.38,128233959333.27,132080978113.27,5129358373.33,49122938325.0,55936463766.45,31929996268.88,2564679186.67,19728301435.89,499381425.47,961754695.0,7052867763.33,0.0,110679446.96164179,Natural,1498839701.9216418,0.001
Tonga,TON,105042.0,0.38,556514556.39,514775964.66,22260582.26,6712500.0,283445760.93,137108793.63,11130291.13,85617624.06,25699.14,4173859.17,30608300.6,21637491.08,82619060.8,Industrial,-671250.0,0.148
Naoero,NRU,11801.0,0.38,180671357.35,167121005.55,7226854.29,0.0,43018481.61,50311667.2,3613427.15,27795593.44,0,1355035.18,9936924.65,7279526.16,72174682.75,Industrial,-0.0,0.399
Marshall Islands,MHL,40077.0,0.38,258723500.0,239319237.5,10348940.0,7050000.0,112812876.1,74731697.14,5174470.0,39803615.38,0,1940426.25,14229792.5,10014104.0,42115546.9,Industrial,-705000.0,0.163
Tuvalu,TUV,9992.0,0.38,54104146.32,50046335.35,2164165.85,750000.0,37200216.0,21822403.23,1082082.93,8323714.82,3205.6,405781.1,2975728.05,0.0,-8108532.59,Industrial,-75000.0,-0.15
Cabo Verde,CPV,519741.0,0.38,2247003344.34,2078478093.52,89880133.77,34740000.0,1669273026.49,591596107.33,44940066.89,345692822.21,5523852.6,16852525.08,123585183.94,35279082.15,-190973062.52,Industrial,-3474000.0,-0.085
Kosovo,XKX,1768096.0,0.383,9367633202.55,8665060712.36,374705328.1,75000000.0,6582621408.0,2313186348.72,187352664.05,1441174338.85,14144768.0,77282973.92,515219826.14,245512308.66,-286290574.39,Industrial,-7500000.0,-0.031
Sao Tome and Principe,STP,226305.0,0.38,540809499.19,500248786.75,21632379.97,37995000.0,580533332.1,212273571.13,10816189.98,83201461.41,1810294.91,4056071.24,29744522.46,11096306.7,-330306920.33,Industrial,-3799500.0,-0.611
Kiribati,KIR,130469.0,0.38,271214374.5,250873296.41,10848574.98,885000.0,485727498.1,134650512.65,5424287.49,41725288.38,0,2034107.81,14916790.6,19977879.06,-381954565.89,Industrial,-88500.0,-1.408
Solomon Islands,SLB,781066.0,0.38,1466670929.62,1356670609.9,58666837.18,1891132500.0,958491175.38,684455424.09,29333418.59,225641681.48,3017152.55,11000031.97,80666901.13,21790725.78,-657402173.3683581,Natural,1498839701.9216418,-0.448
Comoros,COM,834188.0,0.38,1279542248.96,1183576580.29,51181689.96,24030000.0,1146329110.74,767707734.78,25590844.98,196852653.69,4695276.29,9596566.87,70374823.69,25073618.65,-746553431.99,Industrial,-2403000.0,-0.583
Djibouti,DJI,1137096.0,0.38,3562814908.76,3295603790.6,142512596.35,4473300.0,3176351279.73,994199997.71,71256298.18,548125370.58,30969684.1,26721111.82,195954819.98,0.0,-799157256.68,Industrial,-447330.0,-0.224
Paraguay,PRY,6760464.0,0.446,41841201626.73,41486503442.4,1673648065.07,11657691675.0,22580973805.46,9346499527.5,1992109818.89,6437107942.57,50821189.63,1004188839.04,2301266089.47,169829222.43,-1354577145.5883584,Natural,1498839701.9216418,-0.032
Bhutan,BTN,780914.0,0.285,2898227743.76,2680860662.97,115929109.75,2046750000.0,3022138438.24,749104667.22,57964554.88,445881191.35,12905471.6,0,159402525.91,80161586.39,-1618774797.738358,Natural,1498839701.9216418,-0.559
Guyana,GUY,821637.0,0.38,14718388489.21,13614509352.52,588735539.57,13797698325.0,2755304757.93,1200102727.22,294367769.78,2264367459.88,8219503.11,110387913.67,809511366.91,0.0,-2186611388.868358,Natural,1498839701.9216418,-0.149
Sri Lanka,LKA,22181000.0,0.38,74143020303.66,67465746572.48,2965720812.15,1580025000.0,46924792740.0,20874584679.78,3551361700.92,11406618508.26,337639085.91,556072652.28,4077866116.7,211365919.59,-2365066126.6,Industrial,-158002500.0,-0.032
Timor-Leste,TLS,1369295.0,0.38,3208599900.0,2967954907.5,128343996.0,688725000.0,5097885285.0,1344428907.79,64171998.0,493630753.85,8458367.41,24064499.25,176472994.5,0.0,-2572125684.6883583,Natural,1498839701.9216418,-0.802
Guinea-Bissau,GNB,2105529.0,0.38,1856239954.82,1717021958.2,74249598.19,1472347500.0,2552137848.49,1782266414.71,37124799.1,285575377.66,44883906.6,13921799.66,102093197.51,24488193.4,-2602076219.8783584,Natural,1498839701.9216418,-1.402
Namibia,NAM,2889662.0,0.38,12569449123.37,11428773528.36,502777964.93,4872660000.0,7973378935.92,3736402194.36,465984673.46,1933761403.59,27047092.09,94270868.43,691319701.79,184475380.5,-3686942177.5983586,Natural,1498839701.9216418,-0.293
Gabon,GAB,2430747.0,0.38,20440655695.23,21053875366.09,817626227.81,17630130000.0,7204783789.98,2723787168.81,408813113.9,3144716260.8,52864598.01,153304917.71,1124236063.24,0.0,-4418114550.648357,Natural,1498839701.9216418,-0.216
Pacific island small states,PSS,2656049.0,0.38,10469882963.9,9684641741.61,418795318.56,3303360000.0,9888470427.0,2835511191.72,209397659.28,1610751225.22,5182699.6,78524122.23,575843563.01,255778744.21,-4776631056.868359,Natural,1498839701.9216418,-0.456
Mauritania,MRT,4875637.0,0.38,9562497460.55,8845310151.01,382499898.42,226416675.0,9068417239.36,4282215686.37,191249949.21,1471153455.47,156176194.39,71718730.95,525937360.33,172509622.81,-4783319417.86,Industrial,-22641667.5,-0.5
Lesotho,LSO,2286110.0,0.38,2354980960.03,2178357388.02,94199238.4,25890000.0,4813286739.5,2101089752.34,47099619.2,362304763.08,47104495.54,17662357.2,129523952.8,92995780.29,-4830778784.17,Industrial,-2589000.0,-2.051
"Gambia, The",GMB,2636470.0,0.38,2204734527.88,2039379438.29,88189381.12,173400825.0,5568943017.64,2091599037.67,44094690.56,339189927.37,65682581.21,16535508.96,121260399.03,48649178.71,-5857125336.73,Industrial,-17340082.5,-2.657
Mongolia,MNG,3433748.0,0.314,17146471713.75,17660865865.16,685858868.55,10628250000.0,12193862169.27,4557364614.36,828637538.51,2637918725.19,98676526.09,0,943055944.26,85118208.07,-8223199576.828358,Natural,1498839701.9216418,-0.48
Sierra Leone,SLE,8276807.0,0.38,7121125277.18,6587040881.39,284845011.09,1871565000.0,7797459549.28,6684865147.72,142422505.54,1095557734.95,114984622.02,53408439.58,391661890.24,65475936.54,-8225249783.758358,Natural,1498839701.9216418,-1.155
West Bank and Gaza,PSE,5043612.0,0.38,19165500000.0,17728087500.0,766620000.0,7605000.0,19583006128.65,6194661556.86,383310000.0,2948538461.54,75591688.5,143741250.0,1054102500.0,697968000.0,-8230740662.47,Industrial,-760500.0,-0.429
Lebanon,LBN,5744489.0,0.355,20992421948.81,17940434688.45,839696877.95,108397500.0,20497245249.17,5742688970.76,419848438.98,3229603376.74,105618963.96,26240527.44,1154583207.18,759601883.63,-8494723303.89,Industrial,-10839750.0,-0.405
Cote d'Ivoire,CIV,30395002.0,0.38,70922824813.91,69393167439.04,2836912992.56,1958204175.0,51139643066.47,26557765044.52,1418456496.28,10911203817.52,409254628.5,531921186.1,3900755364.77,245771440.11,-8890133555.25,Industrial,-195820417.5,-0.125
Chad,TCD,18455316.0,0.374,17828508289.6,18363363538.29,713140331.58,3068583300.0,9029431654.67,14898250908.89,356570165.79,2742847429.17,552382538.08,106971049.74,980567955.93,0.0,-8906545267.22,Industrial,-306858330.0,-0.5
Suriname,SUR,623164.0,0.392,3791603200.03,3694345531.59,151664128.0,11378850825.0,2320039572.0,772865245.89,75832064.0,583323569.23,5509945.09,39811833.6,208538176.0,0.0,-9176602986.828358,Natural,1498839701.9216418,-2.42
Kenya,KEN,54252461.0,0.385,114448978152.64,110597033947.12,4577959126.11,2708317500.0,69875996742.45,47698661746.8,4791955825.46,17607535100.41,684648579.57,1001428558.84,6294693798.4,765550781.57,-10465475361.65,Industrial,-270831750.0,-0.091
Zimbabwe,ZWE,16069056.0,0.38,40757585308.5,39719751715.05,1630303412.34,13014330000.0,25518218693.16,14094453765.38,815151706.17,6270397739.77,159278785.38,305681889.81,2241667191.97,198050186.02,-10488146473.488358,Natural,1498839701.9216418,-0.257
Nicaragua,NIC,6730654.0,0.38,15634573555.9,14544272689.28,625382942.24,2405647500.0,17505381387.41,6879126291.27,312691471.12,2405319008.6,85198879.43,117259301.67,859901545.57,195909063.79,-10538066982.698359,Natural,1498839701.9216418,-0.674
Burundi,BDI,13321097.0,0.38,4020736756.64,3719181499.89,160829470.27,209730000.0,4168734042.96,10446775485.12,80414735.13,618574885.64,333613580.92,30155525.67,221140521.62,0.0,-11334609976.16,Industrial,-20973000.0,-2.819
Jordan,JOR,11256263.0,0.38,53516930140.85,45782208936.48,2140677205.63,73125000.0,44618700116.86,13912151608.11,1070338602.82,8233373867.82,254879605.83,401376976.06,2943431157.75,0.0,-11406409968.76,Industrial,-7312500.0,-0.213
Honduras,HND,10463872.0,0.38,31426041806.8,28809271425.02,1257041672.27,4738020000.0,26069425161.3,11217697467.83,628520836.14,4834775662.58,206462785.33,235695313.55,1728432299.37,699422042.28,-11637830788.548357,Natural,1498839701.9216418,-0.37
Papua New Guinea,PNG,10203169.0,0.38,31653230962.45,29279238640.27,1266129238.5,26841525000.0,8158852417.51,8942264173.1,633064619.25,4869727840.38,90529979.8,237399232.22,1740927702.94,0.0,-12262886180.748358,Natural,1498839701.9216418,-0.387
Liberia,LBR,5373294.0,0.38,4001047000.0,3700968475.0,160041880.0,5667690000.0,7149965015.2,4719884481.73,80020940.0,615545692.31,55995759.48,30007852.5,220057585.0,0.0,-12268309644.688358,Natural,1498839701.9216418,-3.066
Togo,TGO,8068616.0,0.38,8646453099.41,7997969116.96,345858123.98,902512500.0,12583881450.1,6780066497.02,172929061.99,1330223553.76,198902202.08,64848398.25,475554920.47,79939373.96,-12366551107.13,Industrial,-90251250.0,-1.43
"Congo, Rep.",COG,6035104.0,0.38,15817030154.69,16291541059.33,632681206.19,16437000000.0,10834323584.69,5111184266.93,669569683.91,2433389254.57,157273269.72,118627726.16,869936658.51,0.0,-14606826380.288357,Natural,1498839701.9216418,-0.923
Rwanda,RWA,13651030.0,0.38,13747404814.27,13529247467.82,549896192.57,208500000.0,16751668124.06,11345160051.09,274948096.29,2114985356.04,339857591.11,103105536.11,756107264.78,190931511.96,-14896791544.11,Industrial,-20850000.0,-1.084
Haiti,HTI,11503606.0,0.38,20113007125.93,18604531591.49,804520285.04,255810000.0,24071662140.5,9590425837.32,402260142.52,3094308788.6,88710495.59,150847553.44,1106215391.93,353119875.8,-15150312342.05,Industrial,-25581000.0,-0.753
Guinea,GIN,14055137.0,0.38,19910452541.92,18417168601.28,796418101.68,4581750000.0,19277367623.98,11643796973.75,398209050.84,3063146544.91,254168612.45,149328394.06,1095074889.81,53009108.28,-15269967906.748358,Natural,1498839701.9216418,-0.767
Benin,BEN,13759501.0,0.38,17425405090.86,16356273620.8,697016203.63,2276362500.0,18403796899.36,11106506987.68,348508101.82,2680831552.44,401743626.19,130690538.18,958397280.0,38348894.63,-15551902108.26,Industrial,-227636250.0,-0.892
Uganda,UGA,47312719.0,0.38,45565333210.91,44164915841.9,1822613328.44,1691543325.0,19970519740.06,38345291942.43,911306664.22,7010051263.22,1017863990.18,341739999.08,2506093326.6,381338499.43,-15982498042.83,Industrial,-169154332.5,-0.351
Tunisia,TUN,12119334.0,0.38,44929920092.8,41348554214.43,1797196803.71,529342500.0,45120280482.0,13561262527.16,898598401.86,6912295398.89,168675045.46,336974400.7,2471145605.1,483227220.0,-17158787622.67,Industrial,-52934250.0,-0.382
Central African Republic,CAF,5098039.0,0.38,2382618615.02,2203922218.89,95304744.6,16682250000.0,3071097873.33,4130349102.56,47652372.3,366556710.0,112714834.07,17869639.61,131044023.83,39327636.29,-20258291595.788357,Natural,1498839701.9216418,-8.503
Tajikistan,TJK,10182222.0,0.395,10713525200.4,10262833752.97,428541008.02,319350000.0,21814863815.45,8717930003.21,214270504.01,1648234646.22,239379309.08,120527158.5,589243886.02,280516631.43,-20845488916.52,Industrial,-31935000.0,-1.946
Bangladesh,BGD,169384897.0,0.309,460131689083.08,429551089122.67,18405267563.32,1412550000.0,308755253897.02,143585187317.47,22086321075.99,70789490628.17,7889264377.23,0,16104609117.91,2950553744.08,-20989682342.17,Industrial,-141255000.0,-0.046
Niger,NER,25311973.0,0.38,15531799640.9,15405862097.02,621271985.64,791145000.0,14509645141.43,19940313946.11,310635992.82,2389507637.06,1408835530.67,116488497.31,854248980.25,209430650.6,-21045760490.74,Industrial,-79114500.0,-1.355
Kyrgyz Republic,KGZ,6975220.0,0.264,12134931017.95,11520025539.55,485397240.72,1013895000.0,25722408433.88,6080374693.92,589946952.4,1866912464.3,76409017.9,0,667421205.99,399114720.15,-21749418761.1,Industrial,-101389500.0,-1.792
Malawi,MWI,20568728.0,0.38,12429059928.1,11496880433.49,497162397.12,1618275000.0,15178807616.2,16531219879.58,248581198.56,1912163065.86,249558657.49,93217949.46,683598296.05,208130705.34,-22061335700.44,Industrial,-161827500.0,-1.775
Lao PDR,LAO,7559007.0,0.38,15468785203.75,15847935617.76,618751408.15,12394875000.0,21368194360.56,6188914503.71,309375704.08,2379813108.27,123015811.08,116015889.03,850783186.21,0.0,-22243337434.858356,Natural,1498839701.9216418,-1.438
"Somalia, Fed. Rep.",SOM,17801897.0,0.38,10203000000.0,9437775000.0,408120000.0,4369875000.0,21520357245.36,13795640906.86,204060000.0,1569692307.69,214402855.13,76522500.0,561165000.0,452160000.0,-29095996497.738358,Natural,1498839701.9216418,-2.852
Burkina Faso,BFA,22509038.0,0.38,18622421394.61,17225739790.02,744896855.78,4587300000.0,25040571782.13,18713242681.3,372448427.89,2864987906.86,658260243.81,139668160.46,1024233176.7,75743247.09,-29766797176.36836,Natural,1498839701.9216418,-1.598
Cambodia,KHM,17201724.0,0.38,39994532959.61,36994942987.64,1599781318.38,5817742500.0,49343093585.79,15420857950.44,799890659.19,6153005070.71,204128758.35,299958997.2,2199699312.78,46697981.6,-31085063303.468357,Natural,1498839701.9216418,-0.777
Zambia,ZMB,20152938.0,0.515,29163782140.49,28768757895.51,1166551285.62,33328200825.0,13240480266.0,17211583986.62,583275642.81,4486735713.92,298105239.66,1203006013.3,1604008017.73,0.0,-33880877965.37836,Natural,1498839701.9216418,-1.162
Bolivia,BOL,12077154.0,0.412,50959081953.69,52487854412.3,2038363278.15,37812333300.0,38415910170.53,13913602017.43,1019181639.07,7839858762.11,247003030.52,789865770.28,2802749507.45,78964178.29,-35291420015.39836,Natural,1498839701.9216418,-0.693
Senegal,SEN,17651103.0,0.38,27783332222.68,24891654465.52,1111333288.91,5991120000.0,43934999706.83,14847225834.4,555666644.45,4274358803.49,484750151.1,208374991.67,1528083272.25,577873163.33,-38574574082.018364,Natural,1498839701.9216418,-1.388
Cameroon,CMR,27632771.0,0.38,44347206072.55,44983869732.6,1773888242.9,15171360000.0,48564629083.2,23532097747.25,886944121.45,6822647088.08,1141342288.78,332604045.54,2439096333.99,93766878.34,-40630372218.86836,Natural,1498839701.9216418,-0.916
Madagascar,MDG,30437261.0,0.38,15342178598.25,14191515203.38,613687143.93,9302534175.0,23745705138.0,23551617396.96,306843571.96,2360335168.96,211977802.04,115066339.49,843819822.9,115990078.95,-40756551394.96836,Natural,1498839701.9216418,-2.657
Mali,MLI,23072640.0,0.38,22539987718.76,20849488639.86,901599508.75,9972000000.0,35571664657.71,18522437563.43,450799754.38,3467690418.27,596840995.93,169049907.89,1239699324.53,171484627.54,-41779557580.10836,Natural,1498839701.9216418,-1.854
Ukraine,UKR,41048766.0,0.38,161989520721.19,156311205612.2,6479580828.85,7276500000.0,144687630918.54,47856220246.0,7040939313.95,24921464726.34,296318573.62,1214921405.41,8909423639.67,2139075938.38,-45395590525.88,Industrial,-727650000.0,-0.28
